,Date,Name,Description,Topic 1,Topic 2,Topic 3,URL,Upvotes,Pricing,Reviews,Product Rating,Comments,Day Rank,Week Rank
0,2024-01-12,Decode the Identity,Think you know your brands?,Design Tools,Games,Design resources,,235,Free,1,5/5 ★,45,#6,#44
0,2024-01-12,AsteroBuilder,Website builder,SaaS,Design resources,,,159,Free Options,0,,27,#7,#56
0,2024-01-12,Product Hunt Weekly Digest Podcast,A new podcast from Product Hunt,News,,,,155,Free,0,,32,#8,#62
0,2024-01-12,RoastedWithAI,Turn visitors into customers with a free website roast,Sales,Marketing,Artificial Intelligence,,161,Free,4,4.8/5 ★,63,#9,#61
0,2024-01-12,SkimAI,Transform your inbox into a hub of efficiency,Email,Productivity,Artificial Intelligence,,146,Free,0,,55,#10,#65
0,2024-01-12,Nemo AI,AI mental health assistant on WhatsApp,Artificial Intelligence,Bots,Health,,119,Free,3,5/5 ★,43,#11,#68
0,2024-01-12,HoneyDo,Never type a grocery list again,Productivity,Cooking,Artificial Intelligence,,108,Free Options,0,,19,#12,#80
0,2024-01-12,PayMeForMyAI,Build and monetize GPT Bots without code,Developer Tools,Artificial Intelligence,No-Code,,111,Free,3,5/5 ★,32,#13,#81
0,2024-01-12,videoGPT,The AI chatbot that can watch videos,Artificial Intelligence,Bots,Video,,85,Free Options,1,5/5 ★,17,#14,#91
0,2024-01-12,Hoeking Island,The hilarious Stephen Hawking island hopping meme game,Indie Games,Tech,Games,,88,Free,8,5/5 ★,10,#15,#101
0,2024-01-12,Tool Explorer,"Chat and explore over 12,000+ AI tools - 100% Free",Productivity,Developer Tools,Artificial Intelligence,,89,Free,0,,25,#16,#100
0,2024-01-12,ABC Finder,A fun AI camera game to help kids learn their ABCs,Artificial Intelligence,Games,Kids & Parenting,,76,Free Options,0,,21,#17,#102
0,2024-01-13,Felo Translator,"Advanced AI translation, Android beta releases",Productivity,Education,Languages,,740,Free Options,14,4.6/5 ★,317,#1,#6
0,2024-01-13,Dinnerfy,Put dinner on autopilot: automated dinner & grocery ordering,Cooking,Artificial Intelligence,Delivery,,490,Free,5,4.8/5 ★,212,#2,#18
0,2024-01-13,Antispace,Action oriented AI: translate human thoughts into actions,Email,Productivity,Artificial Intelligence,,312,Free Options,3,5/5 ★,69,#4,#38
0,2024-01-13,Personage,Create AI companion and monetize your audience,Artificial Intelligence,Bots,Influencer marketing,,234,Free Options,0,,54,#5,#45
0,2024-01-13,Hermeso,AI Travel Guide,Travel,Artificial Intelligence,Business Travel,,160,Free Options,0,,103,#6,#57
0,2024-01-13,Teleform,Visual chatbot builder and group messenger for Telegram,Telegram,,,,110,Free Options,1,5/5 ★,61,#7,#67
0,2024-01-13,ocrX Image to Text,"Scan and extract text from images on iPhone, iPad & Mac",Productivity,Writing,Apple,,111,Free,1,5/5 ★,71,#8,#74
0,2024-01-13,iTeach,Eco-responsible programming learning platform,Education,Climate Tech,Development,,110,Free,1,5/5 ★,78,#9,#75
0,2024-01-14,Punch Time Tracker,Make every minute pack a punch with Airtable,Productivity,Time Tracking,No-Code,,617,Free Options,2,5/5 ★,210,#1,#16
0,2024-01-14,Assembly by MindPal,Automate big tasks with a multi agent AI assembly,Productivity,Artificial Intelligence,Tech,,447,Free Options,35,4.9/5 ★,142,#2,#26
0,2024-01-14,LinkedLeads,Get infinite leads from your LinkedIn connections,Artificial Intelligence,,,,382,Free Options,0,,87,#3,#32
0,2024-01-14,Folksable,Track habits by photo checkins to friends for accountability,Health & Fitness,Productivity,,,258,Free Options,1,5/5 ★,116,#4,#42
0,2024-01-14,EXT,An easy way to build cross-platform desktop software.,Productivity,API,Games,,273,Free,2,5/5 ★,51,#5,#43
0,2024-01-14,Mishka,Telegram AI chatbot with internet access and more,Telegram,Messaging,Artificial Intelligence,,208,Free,1,5/5 ★,55,#6,#52
0,2024-01-15,AI Picasso - AI dance,Full body AI dance from photos,Android,iOS,Artificial Intelligence,,652,Free,23,4.1/5 ★,292,#1,#7
0,2024-01-15,Team Analytics by CodeMonk.ai,Uncover gaps in your tech team and hire the best fit with AI,Hiring,Freelance,Artificial Intelligence,,561,Free Options,7,5/5 ★,287,#2,#8
0,2024-01-15,Squad Habits,Daily habits & goals together,Android,iOS,Health & Fitness,,504,Free,1,5/5 ★,234,#3,#18
0,2024-01-15,Gotalk.ai,Easily convert text to natural sounding AI voices,Marketing,Languages,Artificial Intelligence,,449,Free Options,7,5/5 ★,184,#4,#15
0,2024-01-15,Bliss Brain,"Tailored meditations, no prerecorded content",Health & Fitness,Meditation,Artificial Intelligence,,445,Free Options,2,5/5 ★,166,#5,#25
0,2024-01-15,Arcush,"Simple, stress-free way to manage your daily schedule",iOS,Productivity,Task Management,,371,Free Options,0,,96,#6,#29
0,2024-01-15,Friz,AI social media manager for D2C brands,Social Media,Marketing,Artificial Intelligence,,241,Free Options,2,5/5 ★,117,#7,#44
0,2024-01-15,SocialTalk,The ultimate influencer marketing platform,Marketing,Influencer marketing,,,199,Free Options,1,5/5 ★,78,#8,#55
0,2024-01-15,Pinokio,AI browser,Artificial Intelligence,GitHub,,,201,Free,3,5/5 ★,42,#9,#54
0,2024-01-15,Life Story AI,"Your family story in a beautiful book, powered by AI",Artificial Intelligence,Books,Family,,185,Free Options,2,4.5/5 ★,77,#10,#56
0,2024-01-15,RealityMAX,Real time 3D collaboration meets no-code augmented reality,Design Tools,Productivity,Augmented Reality,,122,Free Options,1,5/5 ★,61,#11,#69
0,2024-01-15,Affistash,Recruit more partners to promote your brand,Marketing,Artificial Intelligence,Affiliate marketing,,124,Free Options,2,5/5 ★,38,#12,#68
0,2024-01-15,AI GPT for Gmail™,Write emails with AI and ChatGPT in just seconds,Email,Productivity,Artificial Intelligence,,101,Free Options,0,,35,#13,#78
0,2024-01-15,ValidateFast,"Launch better & faster, forever",Productivity,Email Marketing,SaaS,,94,Payment Required,0,,37,#14,#84
0,2024-01-15,Disciplined,Effortlessly integrate essential habits into your life,Health & Fitness,Productivity,Task Management,,97,Free,0,,13,#15,#83
0,2024-01-15,Danger,"Catch fake details, block throwaway emails, spot problem IPs",Email,API,Data,,80,Free Options,0,,49,#16,#90
0,2024-01-15,WhisperAI,Immediately start working with an AI professional,Hiring,Artificial Intelligence,Design resources,,67,Payment Required,0,,23,#17,#104
0,2024-01-15,WEVO Pulse,Instant UX analysis for websites and apps,Design Tools,User Experience,Developer Tools,,64,Free,0,,23,#18,#109
0,2024-01-16,COCA,The world's first MPC wallet with non-custodial card,Android,Crypto,Web3,,0,Free,54,4.9/5 ★,637,#1,#4
0,2024-01-16,AI Assist,A next-generation Clippy for a next-generation spreadsheet,Spreadsheets,Artificial Intelligence,Data & Analytics,,949,Free Options,30,4.8/5 ★,398,#2,#5
0,2024-01-16,GoReply.com,Platform for professionals to monetize expertise & time,Charity & Giving,Consulting,Business Intelligence,,501,Free,12,4.8/5 ★,240,#3,#10
0,2024-01-16,CheckYa Bookings,"The all-in-one tool for freelancers, now with bookings",Productivity,SaaS,Tech,,459,Free,38,4.9/5 ★,144,#4,#16
0,2024-01-16,Podsqueeze 2.0,"Repurpose your podcast into clips, shownotes, blog and more",Writing,Marketing,Artificial Intelligence,,548,Free Options,8,4.4/5 ★,188,#5,#21
0,2024-01-16,DocentPro,AI Audio tour guide. Envisions the world as a vast museum..,Travel,Artificial Intelligence,Tech,,202,Free,1,5/5 ★,121,#6,#40
0,2024-01-16,Ubique,An AI sales tool to generate personalized videos at scale,Sales,Marketing,Artificial Intelligence,,227,Free Options,1,5/5 ★,90,#7,#48
0,2024-01-16,MeetLink,A custom landing page for all your meetings,Branding,SaaS,Website Builder,,179,Free Options,1,5/5 ★,53,#8,#59
0,2024-01-16,Posts by Read.cv,A casual micro-blogging community for builders,Social Networking,Design,,,217,Free Options,1,5/5 ★,33,#9,#57
0,2024-01-16,Domain Digger,Full open-source toolkit for next-level domain analysis,Productivity,Developer Tools,GitHub,,201,Free,1,5/5 ★,60,#10,#58
0,2024-01-16,Api Hunt,Discover an extensive collection of over 500 technology APIs,Developer Tools,Artificial Intelligence,Tech,,154,Free,9,5/5 ★,109,#11,#65
0,2024-01-16,AdIntell.ai,Earn revenue from your GPTs with ads,Marketing,Advertising,Artificial Intelligence,,128,Free,1,5/5 ★,74,#12,#74
0,2024-01-16,Byrdhouse AI 2.0,AI interpreter in 100+ languages for video calls,Languages,Artificial Intelligence,Remote Work,,127,Free Options,15,5/5 ★,53,#13,#75
0,2024-01-16,Sell Button,Automate affiliate and influencer marketing,Payments,E-Commerce,Affiliate marketing,,96,Free,0,,33,#14,#88
0,2024-01-16,neetoDesk,"Simplify tickets, amplify support with neetoDesk",Productivity,Customer Communication,Tech,,90,Free,0,,38,#15,#93
0,2024-01-16,Nuits,"Visual soundscapes to get better sleep, focus & calm",Health & Fitness,Productivity,Artificial Intelligence,,66,Free Options,2,5/5 ★,29,#16,#107
0,2024-01-16,SlideFill,Save hours creating data-driven personalized presentations,Productivity,Sales,Marketing,,79,Free,0,,52,#17,#98
0,2024-01-16,HabitStreak,"Build habits, track your progress and get badges",Productivity,,,,75,Free Options,0,,35,#18,#105
0,2024-01-16,OpenModerator,"Modern, open-source, AI content moderation",Developer Tools,Artificial Intelligence,GitHub,,57,Free Options,0,,35,#19,#117
0,2024-01-16,UnifiedStacks,Copilot for research teams,Analytics,Marketing,Artificial Intelligence,,77,Free Options,0,,19,#20,#103
