,Date,Name,Description,Topic 1,Topic 2,Topic 3,URL,Upvotes,Pricing,Reviews,Product Rating,Comments,Day Rank,Week Rank
0,2024-02-08,LLM Prompt & Model Playground,Test LLM prompts & models side-by-side against many inputs,A/B Testing,Developer Tools,Artificial Intelligence,,67,Free,0,,20,#17,#102
0,2024-02-09,Heyday,"AI copilot for your own research, notes & conversations",Browser Extensions,Productivity,Artificial Intelligence,,0,Free Options,43,4.9/5 ★,383,#1,#3
0,2024-02-09,,,,,,,0,,0,,0,,
0,2024-02-09,Capitol AI,"AI content creation blending storytelling, design & research",Productivity,Artificial Intelligence,Digital Art,,831,Free,12,5/5 ★,221,#3,#12
0,2024-02-09,Yuna AI,Your mental health companion,Health & Fitness,Artificial Intelligence,Social Impact,,320,Free Options,5,5/5 ★,129,#4,#29
0,2024-02-09,,,,,,,0,,0,,0,,
0,2024-02-09,Gemini & Gemini Advanced,The best way to get direct access to Google AI,Android,Artificial Intelligence,Search,,291,Free Options,840,4.7/5 ★,18,#6,#47
0,2024-02-09,Backlink Monitor,"Manage, monitor & get backlinks indexed",Marketing,SEO,SaaS,,174,,1,5/5 ★,34,#7,#50
0,2024-02-09,,,,,,,0,,0,,0,,
0,2024-02-09,CodeSignal Learn,"Practice the most in-demand skills with AI tutor, Cosmo",Education,Artificial Intelligence,Online Learning,,188,Free Options,1,5/5 ★,51,#9,#61
0,2024-02-09,Tailwind Skeleton Generator,Create tailwind loading skeletons from your current code,Developer Tools,Web Design,,,188,Free,0,,16,#10,#66
0,2024-02-09,Augie Storyteller,Turn your stories into animated videos,Artificial Intelligence,Family,Video,,172,Payment Required,7,5/5 ★,35,#11,#68
0,2024-02-09,Synthical,Research faster,Productivity,Artificial Intelligence,Science,,123,Free,3,4.7/5 ★,31,#12,#86
0,2024-02-09,,,,,,,0,,0,,0,,
0,2024-02-09,,,,,,,0,,0,,0,,
0,2024-02-09,,,,,,,0,,0,,0,,
0,2024-02-09,,,,,,,0,,0,,0,,
0,2024-02-09,,,,,,,0,,0,,0,,
0,2024-02-09,ChatPdf.so,Chat with your data using AI,Productivity,SaaS,Artificial Intelligence,,57,Free Options,1,5/5 ★,30,#18,#122
0,2024-02-09,The Flip Clock,A minimalist flip clock screensaver ✌️,Productivity,Photography,Wallpaper,,68,Free,0,,24,#19,#118
0,2024-02-09,Flylighter,"Capture anything to Notion - sites, highlights, images, more",Browser Extensions,Productivity,Notion,,65,,0,,10,#20,#124
0,2024-02-10,Hey.bio,Make your link-in-bio awesome,Productivity,Social Media,Marketing,,475,Free,1,1/5 ★,65,#1,#28
0,2024-02-10,Figicon,Flaticon alternative for free SVG icons,Design Tools,Icons,Developer Tools,,420,Free,0,,124,#2,#33
0,2024-02-10,Jan,Open-source ChatGPT alternative that runs 100% offline,Open Source,Privacy,Artificial Intelligence,,437,Free,2,4/5 ★,50,#3,#37
0,2024-02-10,Reposter.app,"Organize, schedule and share posts on X for free in minutes",Productivity,Open Source,Social Media,,165,Payment Required,0,,57,#4,#52
0,2024-02-10,BioDrop,The LinkTree for techies,Events,Social Media,Marketing,,210,Free Options,0,,78,#5,#56
0,2024-02-10,AI-Powered Landing Page Generator,Create landing pages with AI,Web App,Marketing,Developer Tools,,152,Free Options,0,,17,#6,#71
0,2024-02-10,MojiPulse,Collect feedback from your users with emojis,User Experience,Customer Communication,SaaS,,106,Free Options,0,,44,#8,#89
0,2024-02-10,ShoutOut,Collab with local businesses,Social Media,Marketing,Lifestyle,,93,Free,1,4/5 ★,19,#9,#101
0,2024-02-10,PolarLoc - Photos Geolocation,"Crisp images, geo-stamped",Android,Productivity,Photography,,58,,0,,6,#10,#109
0,2024-02-10,Vested CoFounders,"Find a CoFounder, get funded",SaaS,Tech,Fundraising,,55,Free Options,0,,10,#11,#132
0,2024-02-10,CB2 for iPhone,Well made is always worth it,Shopping,Furniture,,,58,Free,0,,5,#12,#143
0,2024-02-10,Seedley,"AI chat agent builder, engage website visitors, drive sales",Sales,Marketing,SaaS,,34,Free Options,1,5/5 ★,13,#13,#186
0,2024-02-10,WagerPool,Fantasy sports betting app without financial ruin,Sports,Football,Sports Games,,34,Free,0,,9,#14,#187
0,2024-02-10,Open Love - AI girlfriend,Play the game to win back your upset AI girlfriend's heart,Artificial Intelligence,,,,26,Free Options,0,,5,#15,#198
0,2024-02-10,The Newsletter Tool Database,Over 100+ tools to help you start your newsletter,Newsletters,Email Marketing,,,0,Free,0,,0,,
0,2024-02-10,2024 Marketing Trends eBook,Mapping 2024 with defining marketing trends,Marketing,,,,0,Free,0,,0,,
0,2024-02-10,B2B Crux,The marketplace for B2B services,Sales,Marketing,E-Commerce,,0,,0,,0,,
0,2024-02-10,Solar Loan Amortization Calculator,Calculate the ammortization on your solar loan,Climate Tech,,,,0,Free,0,,0,,
0,2024-02-10,Notion Template - Pet Care Dashboard,Have a complete template to take care of your pet,Health & Fitness,Dogs,Pets,,0,Payment Required,0,,0,,
0,2024-02-10,AI Dream Interpreter - Dreams Unraveled.,Decode your subconscious!,Artificial Intelligence,Bots,Tech,,0,Free,0,,0,,
